Date,Open,High,Low,Close,Volume
9/20/2016,18175.36,18227.21,18128.8,18129.96,72467008
9/21/2016,18164.96,18307.43,18121.57,18293.7,94106064
9/22/2016,18343.76,18449.88,18343.76,18392.46,73032224
9/23/2016,18377.36,18383.76,18254.84,18261.45,87187664
9/26/2016,18217.76,18217.76,18083.32,18094.83,95517808
9/27/2016,18099.21,18238.1,18052.16,18228.3,84127472
9/28/2016,18240.22,18349.86,18179.34,18339.24,97654288
9/29/2016,18322.88,18366.23,18091.64,18143.45,95890248
9/30/2016,18181.8,18369.62,18181.8,18308.15,135474896
10/3/2016,18279.6,18279.8,18203.75,18253.85,68516584
10/4/2016,18267.68,18313.77,18116.26,18168.45,79705832
10/5/2016,18205.5,18315.82,18205.5,18281.03,76210808
10/6/2016,18280.42,18288.12,18162.97,18268.5,78655568
10/7/2016,18295.35,18319.73,18149.35,18240.49,82685544
10/10/2016,18282.95,18399.96,18282.95,18329.04,72117904
10/11/2016,18308.43,18312.33,18061.96,18128.66,88619712
10/12/2016,18132.63,18193.96,18082.09,18144.2,72231920
10/13/2016,18088.32,18137.7,17959.95,18098.94,83156720
10/14/2016,18177.35,18261.11,18138.38,18138.38,87059440
10/17/2016,18135.85,18162.28,18063.02,18086.4,75966048
10/18/2016,18145.06,18225.8,18129.45,18161.94,75964608
10/19/2016,18178.21,18252.2,18169.25,18202.62,88050208
10/20/2016,18161.87,18249.05,18129.07,18162.35,88932248
10/21/2016,18152.63,18168.76,18049.77,18145.71,117844960
10/24/2016,18197.14,18275.04,18191.18,18223.03,88549496
10/25/2016,18206.52,18241.69,18151.7,18169.27,83831264
10/26/2016,18103.8,18236.04,18062.3,18199.33,86337456
10/27/2016,18234.81,18253.2,18149.2,18169.68,83562416
10/28/2016,18193.79,18257.06,18094.97,18161.19,107851384
10/31/2016,18176.6,18193.68,18130.58,18142.42,110087984
11/1/2016,18158.24,18177.01,17940.84,18037.1,101285680
11/2/2016,18017.72,18044.15,17931.89,17959.64,88656840
11/3/2016,17978.75,18006.96,17904.07,17930.67,77891416
11/4/2016,17928.35,17986.76,17883.56,17888.28,97772872
11/7/2016,17994.64,18263.3,17994.64,18259.6,93457512
11/8/2016,18251.38,18400.5,18200.75,18332.74,79851696
11/9/2016,18317.26,18650.06,18252.55,18589.69,173111104
11/10/2016,18603.14,18873.66,18603.14,18807.88,164399152
11/11/2016,18781.65,18855.78,18736.96,18847.66,107299776
11/14/2016,18876.77,18934.05,18815.75,18868.69,112258496
11/15/2016,18858.21,18925.26,18806.06,18923.06,100674432
11/16/2016,18909.85,18909.85,18825.89,18868.14,87417680
11/17/2016,18866.22,18904.03,18845.27,18903.82,89936360
11/18/2016,18905.33,18915.74,18853.83,18867.93,109896840
11/21/2016,18898.68,18960.76,18883.1,18956.69,80533336
11/22/2016,18970.39,19043.9,18962.82,19023.87,85313784
11/23/2016,19015.52,19083.76,19000.38,19083.18,77881016
11/25/2016,19093.72,19152.14,19093.72,19152.14,45897884
11/28/2016,19122.14,19138.72,19072.25,19097.9,88463176
11/29/2016,19064.07,19144.4,19062.22,19121.6,81511088
11/30/2016,19135.64,19225.29,19123.38,19123.58,164585040
12/1/2016,19149.2,19214.3,19138.79,19191.93,108805456
12/2/2016,19161.25,19196.14,19141.18,19170.42,84923904
12/5/2016,19244.35,19274.85,19186.73,19216.24,92689240
12/6/2016,19219.91,19255.89,19184.74,19251.78,77807744
12/7/2016,19241.99,19558.42,19229.83,19549.62,112146528
12/8/2016,19559.94,19664.97,19527.83,19614.81,89787984
12/9/2016,19631.35,19757.74,19623.19,19756.85,91809664
12/12/2016,19770.2,19824.59,19747.74,19796.43,99770560
12/13/2016,19852.21,19953.75,19846.45,19911.21,99395256
12/14/2016,19876.13,19966.43,19748.67,19792.53,113293648
12/15/2016,19811.5,19951.29,19811.5,19852.24,93316328
12/16/2016,19909.01,19923.17,19821,19843.41,263537808
12/19/2016,19836.66,19917.78,19832.95,19883.06,85520704
12/20/2016,19920.59,19987.63,19920.42,19974.62,80816232
12/21/2016,19968.97,19986.56,19941.96,19941.96,71714688
12/22/2016,19922.68,19933.83,19882.19,19918.88,78050320
12/23/2016,19908.61,19934.15,19899.06,19933.81,47038200
12/27/2016,19943.46,19980.24,19939.8,19945.04,49056616
12/28/2016,19964.31,19981.11,19827.31,19833.68,58764280
12/29/2016,19835.46,19878.44,19788.94,19819.78,52675576
12/30/2016,19833.17,19852.55,19718.67,19762.6,103790112
1/3/2017,19872.86,19938.53,19775.93,19881.76,99921304
1/4/2017,19890.94,19956.14,19878.83,19942.16,81182120
1/5/2017,19924.56,19948.6,19811.12,19899.29,72358912
1/6/2017,19906.96,19999.63,19834.08,19963.8,75691024
1/9/2017,19931.41,19943.78,19887.38,19887.38,84808840
1/10/2017,19876.35,19957.12,19836.03,19855.53,91544736
1/11/2017,19887.38,19973.42,19833.16,19954.28,91098040
1/12/2017,19926.21,19929.29,19770.47,19891,77018792
1/13/2017,19912.54,19952.03,19849.38,19885.73,74988296
1/17/2017,19848.82,19882.99,19775.35,19826.77,95360448
1/18/2017,19822.73,19828.2,19739,19804.72,74543184
1/19/2017,19813.55,19824.14,19677.94,19732.4,79208256
1/20/2017,19795.06,19843.94,19759.14,19827.25,145548752
1/23/2017,19794.79,19833.98,19732.36,19799.85,82630088
1/24/2017,19794.68,19949.24,19786.71,19912.71,88955792
1/25/2017,19994.48,20082,19994.48,20068.51,91337832
1/26/2017,20076.25,20125.58,20067.53,20100.91,91055040
1/27/2017,20103.36,20115.97,20072.64,20093.78,84090672
1/30/2017,20028.62,20028.62,19870.39,19971.13,86086904
1/31/2017,19913.16,19918.17,19784.77,19864.09,108031464
2/1/2017,19923.81,19967.73,19845.99,19890.94,107265440
2/2/2017,19858.34,19922.75,19831.09,19884.91,89135136
2/3/2017,19964.21,20081.48,19964.21,20071.46,88342256
2/6/2017,20025.61,20094.95,20002.81,20052.42,74700160
2/7/2017,20107.62,20155.35,20068.68,20090.29,69873408
2/8/2017,20049.29,20068.28,20015.33,20054.34,70684424
2/9/2017,20061.73,20206.36,20061.73,20172.4,87837168
2/10/2017,20211.23,20298.21,20204.76,20269.37,83163808
2/13/2017,20338.54,20441.48,20322.95,20412.2,84375328
2/14/2017,20374.22,20504.41,20374.02,20504.41,89039448
2/15/2017,20504.27,20620.45,20496.03,20611.86,98434944
2/16/2017,20627.31,20639.87,20556.83,20619.77,91758152
2/17/2017,20564.13,20624.05,20532.61,20624.05,122560864
2/21/2017,20663.43,20757.64,20663.37,20743,92961768
2/22/2017,20715.41,20781.59,20692.39,20775.6,84353744
2/23/2017,20817.21,20840.7,20746.41,20810.32,79939096
2/24/2017,20751.91,20821.76,20733.95,20821.76,88863568
2/27/2017,20808.71,20851.33,20774.76,20837.44,71184000
2/28/2017,20833.88,20841.24,20781.21,20812.24,111104616
3/1/2017,20957.29,21169.11,20957.29,21115.55,106042632
3/2/2017,21128.91,21129.2,20996.61,21002.97,83352968
3/3/2017,21008.75,21039.96,20953.86,21005.71,75137728
3/6/2017,20955.71,20986.43,20912.11,20954.34,79610408
3/7/2017,20934.89,20970.54,20901.26,20924.76,72663144
3/8/2017,20940.44,20951.44,20835.58,20855.73,88717920
3/9/2017,20864.32,20900.57,20777.16,20858.19,76664336
3/10/2017,20919.01,20940.29,20827.66,20902.98,86041760
3/13/2017,20899.28,20926.06,20845.71,20881.48,77941888
3/14/2017,20848.6,20874,20786.31,20837.37,65804868
3/15/2017,20874.78,20977.47,20859.6,20950.1,80396000
3/16/2017,20969.27,21000.11,20893.5,20934.55,73976032
3/17/2017,20965.37,20980.51,20911.07,20914.62,296221792
3/20/2017,20916.27,20955.45,20885.7,20905.86,69360576
3/21/2017,20956.33,20970.04,20653.26,20668.01,96246192
3/22/2017,20640.42,20686.21,20578.95,20661.3,90625056
3/23/2017,20645.07,20757.89,20618.62,20656.58,78993192
3/24/2017,20674.45,20718.33,20529.67,20596.72,91647592
3/27/2017,20488.35,20578.46,20412.8,20550.98,79802256
3/28/2017,20542.14,20735.61,20520.1,20701.5,83845360
3/29/2017,20675.75,20684.73,20625.03,20659.32,60501624
3/30/2017,20662.79,20753.78,20643.6,20728.49,74638304
3/31/2017,20700.34,20722.59,20660.68,20663.22,105913168
4/3/2017,20665.17,20692.34,20517.82,20650.21,85862456
4/4/2017,20634.94,20701.29,20605.3,20689.24,63255164
4/5/2017,20745.06,20887.5,20639.55,20648.15,75466264
4/6/2017,20653.77,20746.46,20612.17,20662.95,76215256
4/7/2017,20647.81,20726.07,20606.95,20656.1,62225076
4/10/2017,20668.22,20750.33,20614.86,20658.02,62838140
4/11/2017,20644.32,20660.03,20512.56,20651.3,66539608
4/12/2017,20637.95,20642.54,20553.03,20591.86,73116584
4/13/2017,20561.69,20612.27,20453.25,20453.25,66566092
4/17/2017,20484.75,20644.41,20484.75,20636.92,64131296
4/18/2017,20561.39,20600.12,20462.28,20523.28,65847940
4/19/2017,20503.52,20546.69,20379.55,20404.49,76765288
4/20/2017,20406.68,20629.78,20406.68,20578.71,85269744
4/21/2017,20578.1,20601.4,20505.33,20547.76,114289664
4/24/2017,20723.59,20792.2,20723.59,20763.89,87743888
4/25/2017,20915.51,21026.97,20909.38,20996.12,87068320
4/26/2017,21009.95,21070.9,20972.27,20975.09,84915088
4/27/2017,20991.12,21005.8,20935.8,20981.33,78967744
4/28/2017,20987.39,20987.76,20926.75,20940.51,95038120
5/1/2017,20962.73,20976.62,20898.38,20913.46,78619408
5/2/2017,20941.19,20960.92,20904.06,20949.89,91324696
5/3/2017,20915,20972.74,20874.18,20957.9,82426728
5/4/2017,20987.83,20990.79,20847.95,20951.47,73235344
5/5/2017,20929.04,21006.94,20905,21006.94,69554912
5/8/2017,20991.26,21017.89,20971.05,21012.28,79476032
5/9/2017,21022.28,21046.85,20938.04,20975.78,72595864
5/10/2017,20958.49,20976.28,20884.15,20943.11,71569888
5/11/2017,20925.72,20933.36,20798.9,20919.42,78624136
5/12/2017,20893.19,20916.1,20869.74,20896.61,75784136
5/15/2017,20923.63,21000.83,20923.63,20981.94,88617008
5/16/2017,20984.48,21033.53,20932.88,20979.75,75838712
5/17/2017,20846.17,20846.17,20601.08,20606.93,113641960
5/18/2017,20579.65,20759.2,20553.45,20663.02,109612120
5/19/2017,20698.28,20857.13,20687.94,20804.84,127292944
5/22/2017,20867.77,20914.26,20860.16,20894.83,78184464
